"filer_name","race","district","party","list"
"Shenna Bellows","Governor",NA,"Democratic","2026"
"Jonathan Bush","Governor",NA,"Republican","2026"
"Robert Charles","Governor",NA,"Republican","2026"
"Troy Jackson","Governor",NA,"Democratic","2026"
"David Jones","Governor",NA,"Republican","2026"
"Angus King, III","Governor",NA,"Democratic","2026"
"James Libby","Governor",NA,"Republican","2026"
"Garrett Mason","Governor",NA,"Republican","2026"
"Owen McCarthy","Governor",NA,"Republican","2026"
"Benjamin Midgley","Governor",NA,"Republican","2026"
"Hannah Pingree","Governor",NA,"Democratic","2026"
"Nirav Shah","Governor",NA,"Democratic","2026"
"Robert Wessels","Governor",NA,"Republican","2026"
"Lucien Daigle","Senator","1","Republican","2026"
"Vaughn Mclaughlin","Senator","1","Democratic","2026"
"Harold Hull","Senator","2","Democratic","2026"
"Harold Stewart, III","Senator","2","Republican","2026"
"Danny Costain","Senator","3","Republican","2026"
"Stanley Short, Jr.","Senator","3","Democratic","2026"
"Joel Stetkis","Senator","3","Republican","2026"
"Joseph Guerin","Senator","4","Republican","2026"
"Lisa Kalp","Senator","4","Democratic","2026"
"Chad Perkins","Senator","4","Republican","2026"
"Gregory Pierce","Senator","4","Republican","2026"
"Zachary Wood","Senator","4","Republican","2026"
"Elizabeth Caruso","Senator","5","Republican","2026"
"Robert Sullebarger","Senator","5","Democratic","2026"
"Kenneth Davis, Jr.","Senator","6","Republican","2026"
"Billy Faulkingham","Senator","6","Republican","2026"
"Nicole Grohoski","Senator","7","Democratic","2026"
"Cheryl Hewes","Senator","7","Republican","2026"
"Leo Kenney","Senator","8","Republican","2026"
"Michael Tipping","Senator","8","Democratic","2026"
"Amy Roeder","Senator","9","Democratic","2026"
"David Haggan","Senator","10","Republican","2026"
"Kevin O'Connell","Senator","10","Democratic","2026"
"Glenn Curry","Senator","11","Democratic","2026"
"Ryan Otis","Senator","11","Republican","2026"
"Ann Matlack","Senator","12","Democratic","2026"
"Cameron Reny","Senator","13","Democratic","2026"
"Craig Hickman","Senator","14","Democratic","2026"
"Steven McGee","Senator","14","Republican","2026"
"Amanda Heath","Senator","15","Democratic","2026"
"Kati McCormick","Senator","15","Republican","2026"
"Scott Cyrway","Senator","16","Republican","2026"
"Patric Moore","Senator","16","Democratic","2026"
"Jo-Jean Keller","Senator","17","Democratic","2026"
"Richard Mason","Senator","17","Republican","2026"
"Joshua Morris","Senator","17","Republican","2026"
"John Andrews","Senator","18","Republican","2026"
"Elizabeth Bosworth","Senator","18","Democratic","2026"
"Joseph Martin","Senator","19","Republican","2026"
"Peter Southam","Senator","19","Democratic","2026"
"Bruce Bickford","Senator","20","Republican","2026"
"Michael Scott","Senator","20","Democratic","2026"
"Mana Abdi","Senator","21","Democratic","2026"
"Shanna Cox","Senator","21","Democratic","2026"
"Nathan Burnett","Senator","22","Democratic","2026"
"Kimberly Pomerleau","Senator","22","Republican","2026"
"Matthea Daughtry","Senator","23","Democratic","2026"
"Bernard Porter","Senator","23","Republican","2026"
"Denise Tepler","Senator","24","Democratic","2026"
"Teresa Pierce","Senator","25","Democratic","2026"
"Kenneth Cianchette","Senator","26","Republican","2026"
"Timothy Nangle","Senator","26","Democratic","2026"
"Peter Violette","Senator","26","Republican","2026"
"Jill Duson","Senator","27","Democratic","2026"
"Rachel Ross","Senator","28","Democratic","2026"
"Anne Carney","Senator","29","Democratic","2026"
"Vincent Maietta","Senator","29","Republican","2026"
"Eleanor Sato","Senator","30","Democratic","2026"
"Sophia Warren","Senator","30","Democratic","2026"
"Harry White","Senator","30","Republican","2026"
"Donna Bailey","Senator","31","Democratic","2026"
"Garrett Plummer","Senator","31","Republican","2026"
"Henry Ingwersen","Senator","32","Democratic","2026"
"Matthew Harrington","Senator","33","Republican","2026"
"Mark Vigliotta","Senator","33","Democratic","2026"
"Jonathan Fallon","Senator","34","Republican","2026"
"Daniel Sayre","Senator","34","Democratic","2026"
"Michele Meyer","Senator","35","Democratic","2026"
"Julie Rakic","Senator","35","Republican","2026"
"Deane Rykerson","Senator","35","Democratic","2026"
"Dana Appleby","Representative","1","Democratic","2026"
"Austin Theriault","Representative","1","Republican","2026"
"Roger Albert","Representative","2","Republican","2026"
"Roland Martin","Representative","2","Democratic","2026"
"Susan Bernard","Representative","3","Republican","2026"
"Jack McCarthy","Representative","3","Republican","2026"
"David McCrea","Representative","3","Democratic","2026"
"Timothy Guerrette","Representative","4","Republican","2026"
"Bruce Archer","Representative","5","Democratic","2026"
"Douglas Carlisle, Jr.","Representative","5","Republican","2026"
"Donald Ardell","Representative","6","Republican","2026"
"Melanie Tompkins","Representative","6","Democratic","2026"
"Jantzen Craine","Representative","7","Republican","2026"
"Matthew Rush","Representative","7","Democratic","2026"
"Tracy Quint","Representative","8","Republican","2026"
"Arthur Mingo","Representative","9","Republican","2026"
"Nicole Richards","Representative","9","Democratic","2026"
"Daniel Daley","Representative","10","Republican","2026"
"Genevieve Lemire","Representative","10","Democratic","2026"
"William Tuell","Representative","10","Republican","2026"
"Keith Newman","Representative","11","Democratic","2026"
"Tiffany Strout","Representative","11","Republican","2026"
"Thomas Hart, Jr.","Representative","12","Republican","2026"
"Michael Cunningham, II","Representative","13","Democratic","2026"
"Russell White","Representative","13","Republican","2026"
"Jean Donovan","Representative","14","Republican","2026"
"Gary Friedmann","Representative","14","Democratic","2026"
"Holly Eaton","Representative","15","Democratic","2026"
"Nina Milliken","Representative","16","Democratic","2026"
"Eric White","Representative","16","Republican","2026"
"Steven Bishop","Representative","17","Republican","2026"
"Ronald Russell","Representative","17","Democratic","2026"
"Jonathan Goble","Representative","18","Democratic","2026"
"Mathew McIntyre","Representative","18","Republican","2026"
"Richard Campbell","Representative","19","Republican","2026"
"David Ulrich","Representative","19","Democratic","2026"
"Patrick Jude","Representative","20","Republican","2026"
"Dani O'Halloran","Representative","20","Democratic","2026"
"Frank Casella","Representative","21","Republican","2026"
"Andrew Laverdiere","Representative","21","Republican","2026"
"Ambureen Rana","Representative","21","Democratic","2026"
"Colleen O'Neal","Representative","22","Republican","2026"
"Laura Supica","Representative","22","Democratic","2026"
"Brian Ames","Representative","23","Republican","2026"
"Katie Brydon","Representative","23","Democratic","2026"
"Victoria Kornfield","Representative","23","Democratic","2026"
"Joschka Winterling","Representative","23","Democratic","2026"
"Sean Faircloth","Representative","24","Democratic","2026"
"Laurie Osher","Representative","25","Democratic","2026"
"Anthony Weaver","Representative","25","Republican","2026"
"James Dill","Representative","26","Democratic","2026"
"Edward Paradis","Representative","26","Republican","2026"
"Devan Arnold","Representative","27","Democratic","2026"
"David Giles","Representative","27","Republican","2026"
"Irene Gifford","Representative","28","Republican","2026"
"Gordon Street","Representative","28","Democratic","2026"
"Nancy McDowell","Representative","29","Democratic","2026"
"James Michaud","Representative","29","Republican","2026"
"Nancy Theriault","Representative","29","Republican","2026"
"John Contreni, Jr.","Representative","30","Democratic","2026"
"James White","Representative","30","Republican","2026"
"Eric Boothroyd","Representative","31","Democratic","2026"
"Andrew Torbett","Representative","31","Republican","2026"
"Shawn Lancaster","Representative","32","Republican","2026"
"Michael Brayson","Representative","33","Democratic","2026"
"Kenneth Fredette","Representative","33","Republican","2026"
"Stacey Guerin","Representative","34","Republican","2026"
"James McClymer","Representative","34","Democratic","2026"
"Debora Farnham","Representative","35","Democratic","2026"
"James Thorne","Representative","35","Republican","2026"
"Clifton Foster, III","Representative","36","Democratic","2026"
"Kimberly Haggan","Representative","36","Republican","2026"
"Alan Orcutt","Representative","37","Democratic","2026"
"Reagan Paul","Representative","37","Republican","2026"
"Jason Cherry","Representative","38","Democratic","2026"
"Benjamin Hymes","Representative","38","Republican","2026"
"Kayla Miller","Representative","38","Democratic","2026"
"Madison Cook","Representative","39","Democratic","2026"
"Michael Nicholson","Representative","39","Republican","2026"
"Joseph McLaughlin","Representative","40","Republican","2026"
"D. Ray","Representative","40","Democratic","2026"
"Joshua Gerritsen","Representative","41","Democratic","2026"
"Marcus Mrowka","Representative","41","Democratic","2026"
"Cory Raymond","Representative","41","Republican","2026"
"Melissa Byer","Representative","42","Republican","2026"
"Valli Geiger","Representative","42","Democratic","2026"
"Christopher Austin","Representative","43","Republican","2026"
"Michael Flanagan","Representative","43","Republican","2026"
"Rhiannon Hampson","Representative","43","Democratic","2026"
"Peter Jenks","Representative","43","Democratic","2026"
"Brady Clark","Representative","44","Republican","2026"
"Ray Thombs, Jr.","Representative","44","Republican","2026"
"Rebecca Stephens","Representative","45","Republican","2026"
"Jennifer Mayher","Representative","46","Democratic","2026"
"Wayne Farrin","Representative","47","Democratic","2026"
"Chester Grover, III","Representative","47","Republican","2026"
"Erik Hobson","Representative","48","Republican","2026"
"Charlotte Nutt","Representative","48","Democratic","2026"
"Suzanne Andresen","Representative","49","Republican","2026"
"Nicolas Hamlin","Representative","49","Republican","2026"
"Trent Vellella","Representative","49","Democratic","2026"
"Jedediah Rice, II","Representative","50","Republican","2026"
"David Sinclair","Representative","50","Democratic","2026"
"Louis Larios","Representative","51","Republican","2026"
"Rafael Macias","Representative","51","Democratic","2026"
"Annalyse Sarvinas","Representative","51","Republican","2026"
"Sally Cluchey","Representative","52","Democratic","2026"
"David Guilmette","Representative","52","Republican","2026"
"Richard Goldman","Representative","53","Democratic","2026"
"Michael Lemelin","Representative","53","Republican","2026"
"Karen Montell","Representative","54","Democratic","2026"
"Michelle Tucker","Representative","54","Republican","2026"
"Maureen AuCoin","Representative","55","Democratic","2026"
"Steven Butterfield","Representative","55","Democratic","2026"
"Charles Hippler, IV","Representative","55","Republican","2026"
"Randall Greenwood","Representative","56","Republican","2026"
"Robin Upton-Sukeforth","Representative","56","Democratic","2026"
"Tavis Hasenfus","Representative","57","Democratic","2026"
"David Potvin","Representative","57","Republican","2026"
"Lawrence Bessey","Representative","58","Republican","2026"
"Dexter Bridges, Jr.","Representative","58","Republican","2026"
"Jeffrey Harris","Representative","58","Republican","2026"
"Katrina Couch Ray-Saulis","Representative","59","Democratic","2026"
"Thomas Keefe","Representative","59","Democratic","2026"
"John Reny","Representative","59","Republican","2026"
"Wyatt Beaulieu","Representative","60","Republican","2026"
"William Bridgeo","Representative","60","Democratic","2026"
"Alicia Collins","Representative","61","Republican","2026"
"Robin Crawley","Representative","61","Democratic","2026"
"Katrina Smith","Representative","62","Republican","2026"
"Pamela Swift","Representative","62","Democratic","2026"
"Paul Flynn","Representative","63","Republican","2026"
"Taylor West","Representative","63","Democratic","2026"
"Flavia DeBrito","Representative","64","Democratic","2026"
"Shawn Packard","Representative","64","Republican","2026"
"Cassie Julia","Representative","65","Democratic","2026"
"Scott Strom","Representative","65","Republican","2026"
"Michael Perkins","Representative","66","Republican","2026"
"Shawn Dixon","Representative","67","Republican","2026"
"Matthew Townsend","Representative","67","Democratic","2026"
"Amanda Collamore","Representative","68","Republican","2026"
"Jessica Blanchard","Representative","69","Democratic","2026"
"Dean Cray","Representative","69","Republican","2026"
"Joseph Almand","Representative","70","Democratic","2026"
"Jennifer Poirier","Representative","70","Republican","2026"
"John Ducharme, III","Representative","71","Republican","2026"
"Allison Perkins","Representative","71","Democratic","2026"
"Cynthia Soma-Hernandez","Representative","72","Democratic","2026"
"Douglas Thomas","Representative","72","Republican","2026"
"Ryan Morgan","Representative","73","Republican","2026"
"Daniel Simonds","Representative","73","Democratic","2026"
"Michael Soboleski","Representative","73","Republican","2026"
"Russell Black","Representative","74","Republican","2026"
"Marc Edwards","Representative","74","Democratic","2026"
"Randall Gauvin","Representative","75","Republican","2026"
"H. Landry","Representative","75","Democratic","2026"
"Trevor Doiron","Representative","76","Democratic","2026"
"Sheila Lyman","Representative","76","Republican","2026"
"Nicole Bambrick","Representative","77","Republican","2026"
"Arlie Hetrick, Jr.","Representative","77","Democratic","2026"
"Tammy Schmersal-Burgess","Representative","77","Republican","2026"
"Rachel Henderson","Representative","78","Republican","2026"
"Woodleigh Hughes","Representative","78","Democratic","2026"
"Michael Lance","Representative","79","Republican","2026"
"Brianna Lueck","Representative","79","Democratic","2026"
"Ernest Fitts, IV","Representative","80","Republican","2026"
"Gino Valeriani","Representative","80","Republican","2026"
"Christopher Easton","Representative","81","Democratic","2026"
"Peter Wood","Representative","81","Republican","2026"
"Christopher Lewey","Representative","82","Democratic","2026"
"Caleb Ness","Representative","82","Republican","2026"
"Timothy Becker","Representative","83","Democratic","2026"
"Marygrace Cimino","Representative","83","Republican","2026"
"Cassandra Dove","Representative","84","Democratic","2026"
"Mark Walker","Representative","84","Republican","2026"
"Timothy Nickels","Representative","85","Republican","2026"
"Adrienne Paul","Representative","85","Republican","2026"
"Paul Welch","Representative","85","Democratic","2026"
"Abigail Geer","Representative","86","Democratic","2026"
"Rolf Olsen, Jr.","Representative","86","Republican","2026"
"John Baldwin","Representative","87",NA,"2026"
"David Boyer, Jr.","Representative","87","Republican","2026"
"Quentin Chapman","Representative","88","Republican","2026"
"Dana Staples","Representative","88","Democratic","2026"
"James Berube","Representative","89","Republican","2026"
"Adam Lee","Representative","89","Democratic","2026"
"Pamela Hart","Representative","90","Democratic","2026"
"James Sorcek","Representative","90","Republican","2026"
"Emily Dingman","Representative","91","Democratic","2026"
"Jeffrey Timberlake","Representative","91","Republican","2026"
"Stephen Wood","Representative","92","Republican","2026"
"Julia McCabe","Representative","93","Democratic","2026"
"Chad Syphers","Representative","93","Republican","2026"
"Janet Beaudoin","Representative","94","Republican","2026"
"Scott Harriman","Representative","94","Democratic","2026"
"Matthew Kershaw","Representative","95","Democratic","2026"
"Kiernan Majerus-Collins","Representative","95","Democratic","2026"
"Bret Martel","Representative","95","Republican","2026"
"Kerryl Clement","Representative","96","Republican","2026"
"Luke Jensen","Representative","96","Democratic","2026"
"Dale Crafts","Representative","97","Republican","2026"
"Thomas Watson","Representative","97","Democratic","2026"
"Guy Lebida","Representative","98","Republican","2026"
"William St. Michel","Representative","98","Republican","2026"
"Kilton Webb","Representative","98","Democratic","2026"
"Cheryl Golek","Representative","99","Democratic","2026"
"Braeden Webber","Representative","99","Republican","2026"
"Daniel Ankeles","Representative","100","Democratic","2026"
"Brett Barrett","Representative","100","Republican","2026"
"Poppy Arford","Representative","101","Democratic","2026"
"Ravi Jackson","Representative","101","Republican","2026"
"Henry Lawrence, III","Representative","102","Republican","2026"
"Maura Pillsbury","Representative","102","Democratic","2026"
"Karin Orenstein","Representative","103","Democratic","2026"
"R. Winslow","Representative","104","Republican","2026"
"Susan Fuller","Representative","105","Republican","2026"
"Anne Graham","Representative","105","Democratic","2026"
"Barbara Bagshaw","Representative","106","Republican","2026"
"Bradley Youngs","Representative","106","Democratic","2026"
"Joseph Campbell","Representative","107","Democratic","2026"
"Mark Cooper","Representative","107","Republican","2026"
"Kelly Dearborn","Representative","108","Republican","2026"
"Parnell Terry","Representative","108","Democratic","2026"
"Diana Kushnar","Representative","109","Republican","2026"
"Seven Siegel","Representative","109","Democratic","2026"
"Jason Copp","Representative","110","Republican","2026"
"Christina Mitchell","Representative","110","Democratic","2026"
"Amy Kuhn","Representative","111","Democratic","2026"
"Lauren Jones","Representative","112","Republican","2026"
"Sean Mahoney","Representative","112","Democratic","2026"
"Grayson Lookner","Representative","113","Democratic","2026"
"Lisa Nelthropp","Representative","113","Republican","2026"
"April Fournier","Representative","114","Democratic","2026"
"Andrew Zarro","Representative","115","Democratic","2026"
"Samuel Zager","Representative","116","Democratic","2026"
"Matthew Moonen","Representative","117","Democratic","2026"
"Yusuf Yusuf","Representative","118","Democratic","2026"
"Michael Dixon","Representative","119","Democratic","2026"
"Jacob Wakem","Representative","119","Republican","2026"
"Michael Dougherty","Representative","120","Republican","2026"
"Jason Shedlock","Representative","120","Democratic","2026"
"Robert Cameron","Representative","121","Democratic","2026"
"Meagan Smith","Representative","121","Republican","2026"
"Matthew Beck","Representative","122","Democratic","2026"
"Michelle Boyer","Representative","123","Democratic","2026"
"Annie Christy","Representative","123","Republican","2026"
"Scott Doherty","Representative","124","Republican","2026"
"Eric Nathanson","Representative","124","Democratic","2026"
"Kelly Murphy","Representative","125","Democratic","2026"
"Andrew Gattine","Representative","126","Democratic","2026"
"Ethan Mongue","Representative","126","Republican","2026"
"Morgan Rielly","Representative","127","Democratic","2026"
"Suzanne Salisbury","Representative","128","Democratic","2026"
"Marshall Archer","Representative","129","Democratic","2026"
"Lynn Copeland","Representative","130","Democratic","2026"
"Robert Kelly","Representative","131","Democratic","2026"
"Ryan Fecteau","Representative","132","Democratic","2026"
"Marc Malon, II","Representative","133","Democratic","2026"
"Traci Gere","Representative","134","Democratic","2026"
"Rachel Phipps","Representative","135","Democratic","2026"
"Lisa Pratt","Representative","135","Democratic","2026"
"Michelle Conners","Representative","136","Democratic","2026"
"John Eder","Representative","136","Republican","2026"
"Nathan Carlow","Representative","137","Republican","2026"
"Charles Tilburg","Representative","137","Democratic","2026"
"Jonathan Kinney","Representative","138","Republican","2026"
"Oliver McAvoy","Representative","138","Democratic","2026"
"Dean LePage","Representative","139","Democratic","2026"
"Jamie Newton","Representative","139","Republican","2026"
"Wayne Parry","Representative","140","Republican","2026"
"Kirstan Watson","Representative","140","Democratic","2026"
"Marc Boisse","Representative","141","Republican","2026"
"Rebecca Flood Andrews","Representative","141","Democratic","2026"
"Clinton Phinney, Jr.","Representative","141","Republican","2026"
"Gordon Frohloff","Representative","142","Republican","2026"
"Ayn Hanselmann","Representative","142","Democratic","2026"
"John Henkelman","Representative","143","Democratic","2026"
"Eric Small","Representative","143","Republican","2026"
"Jeffrey Adams","Representative","144","Republican","2026"
"Caleb Chase","Representative","145","Republican","2026"
"Kristin Davis","Representative","145","Democratic","2026"
"Bradley Moulton","Representative","146","Republican","2026"
"Walter Runte, Jr.","Representative","146","Democratic","2026"
"Holly Sargent","Representative","147","Democratic","2026"
"Thomas Lavigne","Representative","148","Republican","2026"
"Margaret Wheeler","Representative","148","Democratic","2026"
"Mallory Cook","Representative","149","Democratic","2026"
"Timothy Towne","Representative","149","Republican","2026"
"Alexandros Orestis","Representative","150","Democratic","2026"
"Mark Zimmer","Representative","150","Republican","2026"
"Suzanne Johnson","Representative","151","Republican","2026"
"Kristi Mathieson","Representative","151","Democratic","2026"
